Molecule: ./Results/4lzs_p5 
Step: add fragment, Previous ligand: [5*]NC, New ligand: [14*]c1[nH]c(C)c([16*])c1NC, Score: 0.22800751879699246 
Step: add fragment, Previous ligand: [14*]c1[nH]c(C)c(NC)c1CC, New ligand: [16*]c1c(C)[nH]c(-c2[nH]c(C)c(NC)c2CC)c1[16*], Score: 0.5546229508196722 
Step: remove fragment, Previous ligand: [16*]c1c(C)[nH]c(-c2[nH]c(C)c(NC)c2CC)c1[16*], New ligand: [16*]c1c(C)[nH]c(-c2[nH]c(C)c(NC)c2CC)c1[16*], Score: 0.5546229508196722 
Step: add fragment, Previous ligand: [16*]c1c(C)[nH]c(-c2[nH]c(C)c(NC)c2CC)c1[16*], New ligand: [1*]C(=O)c1c(C)[nH]c(-c2[nH]c(C)c(NC)c2CC)c1[16*], Score: 0.5547568710359407 
Step: remove fragment, Previous ligand: [1*]C(=O)c1c(C)[nH]c(-c2[nH]c(C)c(NC)c2CC)c1[16*], New ligand: [14*]c1[nH]c(C)c(NC)c1CC, Score: 0.4383076923076923 
Step: remove fragment, Previous ligand: [14*]c1[nH]c(C)c(NC)c1CC, New ligand: [14*]c1[nH]c(C)c(NC)c1CC, Score: 0.4383076923076923 
Step: add fragment, Previous ligand: [14*]c1[nH]c(C)c(NC)c1CC, New ligand: CCc1[nH]c(C)c(NC)c1CC, Score: 0.5858987090367428 
Step: remove fragment, Previous ligand: CCc1[nH]c(C)c(NC)c1CC, New ligand: CCc1[nH]c(C)c(NC)c1CC, Score: 0.5858987090367428 
Step: remove fragment, Previous ligand: CCc1[nH]c(C)c(NC)c1CC, New ligand: [14*]c1[nH]c(C)c(NC)c1CC, Score: 0.4383076923076923 
Step: remove fragment, Previous ligand: [14*]c1[nH]c(C)c(NC)c1CC, New ligand: [14*]c1[nH]c(C)c(NC)c1CC, Score: 0.4383076923076923 
Step: remove fragment, Previous ligand: [14*]c1[nH]c(C)c(NC)c1CC, New ligand: [14*]c1[nH]c(C)c(NC)c1CC, Score: 0.4383076923076923 
Step: remove fragment, Previous ligand: [14*]c1[nH]c(C)c(NC)c1CC, New ligand: [14*]c1[nH]c(C)c(NC)c1CC, Score: 0.4383076923076923 
Step: remove fragment, Previous ligand: [14*]c1[nH]c(C)c(NC)c1CC, New ligand: [14*]c1[nH]c(C)c(NC)c1CC, Score: 0.4383076923076923 
Step: remove fragment, Previous ligand: [14*]c1[nH]c(C)c(NC)c1CC, New ligand: [14*]c1[nH]c(C)c(NC)c1CC, Score: 0.4383076923076923 
Step: remove fragment, Previous ligand: [14*]c1[nH]c(C)c(NC)c1CC, New ligand: [14*]c1[nH]c(C)c(NC)c1CC, Score: 0.4383076923076923 
