Molecule: ./no_chain/6fnx 
Step: add fragment, Previous ligand: [8*]Cn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: [8*]Cn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: tensor([0.8738]) 
Step: add fragment, Previous ligand: [8*]Cn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: [9*]n1cnc2c1c(=O)[nH]c(=O)n2Cn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: tensor([0.8941]) 
Step: add fragment, Previous ligand: [9*]n1cnc2c1c(=O)[nH]c(=O)n2Cn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2Cn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: tensor([0.8897]) 
Step: remove fragment, Previous ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2Cn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2Cn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: tensor([0.8897]) 
Step: remove fragment, Previous ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2Cn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2Cn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: tensor([0.8897]) 
Step: remove fragment, Previous ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2Cn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2Cn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, Score: tensor([0.8897]) 
Step: remove fragment, Previous ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2Cn1c(=O)[nH]c(=O)c2c1ncn2-c1ccccc1, New ligand: [8*]CC, Score: tensor([0.3639]) 
Step: add fragment, Previous ligand: [8*]CC, New ligand: [9*]n1cnc2c1c(=O)[nH]c(=O)n2CC, Score: tensor([0.8786]) 
Step: remove fragment, Previous ligand: [9*]n1cnc2c1c(=O)[nH]c(=O)n2CC, New ligand: [8*]CC, Score: tensor([0.3639]) 
Step: add fragment, Previous ligand: [8*]CC, New ligand: [9*]n1c(=O)[nH]c(=O)c2c1ncn2CC, Score: tensor([0.8178]) 
Step: remove fragment, Previous ligand: [9*]n1c(=O)[nH]c(=O)c2c1ncn2CC, New ligand: [9*]n1c(=O)[nH]c(=O)c2c1ncn2CC, Score: tensor([0.8178]) 
Step: add fragment, Previous ligand: [9*]n1c(=O)[nH]c(=O)c2c1ncn2CC, New ligand: CCn1cnc2c1c(=O)[nH]c(=O)n2-c1ccccc1, Score: tensor([0.9028]) 
