Molecule: ./Results/normal_sim_a1.txt 
Step: ['move_junction'], Previous ligand: COC(N)(CCc1cccn(O)c1=S)CSC, Changed ligand: COC(CCc1cccn(O)c1=S)CSCN, New ligand: COC(N)(CCc1cccn(O)c1=S)CSC 
Step: ['change type'], Previous ligand: COC(N)(CCc1cccn(O)c1=S)CSC, Changed ligand: COC(N)(COc1cccn(O)c1=S)CSC, New ligand: COC(N)(CCc1cccn(O)c1=S)CSC 
Step: ['switch'], Previous ligand: CCCC(C)Nc1c(O)cc(C)n(O)c1=S, Changed ligand: CCCC(C)Nc1c(O)cc(NC)n(O)c1=S, New ligand: CCCC(C)Nc1c(O)cc(NC)n(O)c1=S 
Step: ['remove'], Previous ligand: CCCC(C)Nc1c(O)cc(NC)n(O)c1=S, Changed ligand: CCCCNc1c(O)cc(NC)n(O)c1=S, New ligand: CCCC(C)Nc1c(O)cc(NC)n(O)c1=S 
Step: ['add'], Previous ligand: CCCC(C)Nc1c(O)cc(NC)n(O)c1=S, Changed ligand: CNc1cc(O)c(NC(C)CCC=S)c(=S)n1O, New ligand: CNc1cc(O)c(NC(C)CCC=S)c(=S)n1O 
Step: ['remove'], Previous ligand: CNc1cc(O)c(NC(C)CCC=S)c(=S)n1O, Changed ligand: CNc1cc(O)c(NCCCC=S)c(=S)n1O, New ligand: CNc1cc(O)c(NCCCC=S)c(=S)n1O 
Step: ['add'], Previous ligand: CNc1cc(O)c(NCCCC=S)c(=S)n1O, Changed ligand: CNC1=CC(N)(O)C(=NCCCC=S)C(=S)N1O, New ligand: CNc1cc(O)c(NCCCC=S)c(=S)n1O 
Step: ['form new ring'], Previous ligand: CNc1cc(O)c(NCCCC=S)c(=S)n1O, Changed ligand: CNc1cc2c(c(=S)n1O)NCC(CC=S)O2, New ligand: CNc1cc2c(c(=S)n1O)NCC(CC=S)O2 
Step: ['change type'], Previous ligand: CNc1cc2c(c(=S)n1O)NCC(CC=S)O2, Changed ligand: CNc1cc2c(c(=S)n1O)NCC(OC=S)O2, New ligand: CNc1cc2c(c(=S)n1O)NCC(OC=S)O2 
Step: ['move_junction'], Previous ligand: CNc1cc2c(c(=S)n1O)NCC(OC=S)O2, Changed ligand: CNc1cc2c(c(=S)n1O)NCC(OC=S)O2, New ligand: CNc1cc2c(c(=S)n1O)NCC(OC=S)O2 
Step: ['switch'], Previous ligand: CNc1cc2c(c(=S)n1O)NCC(OC=S)O2, Changed ligand: CNC1=CC2=C(NCC(OC=S)O2)C(S)CN1O, New ligand: CNc1cc2c(c(=S)n1O)NCC(OC=S)O2 
Step: ['remove ring'], Previous ligand: CNc1cc2c(c(=S)n1O)NCC(OC=S)O2, Changed ligand: CNCN(O)C(S)C1NCC(OCS)OC1C, New ligand: CNc1cc2c(c(=S)n1O)NCC(OC=S)O2 
Step: ['remove'], Previous ligand: CNc1cc2c(c(=S)n1O)NCC(OC=S)O2, Changed ligand: CNc1cc2c(c(=S)n1O)NCC(OS)O2, New ligand: CNc1cc2c(c(=S)n1O)NCC(OC=S)O2 
Step: ['add'], Previous ligand: CNc1cc2c(c(=S)n1O)NCC(OC=S)O2, Changed ligand: CNc1cc2c(c(=S)n1O)NCC(OC=[SH]O)O2, New ligand: CNc1cc2c(c(=S)n1O)NCC(OC=S)O2 
Step: ['add'], Previous ligand: CNc1cc2c(c(=S)n1O)NCC(OC=S)O2, Changed ligand: CN=C1C=C2OC(OC=S)CNC2(C)C(=S)N1O, New ligand: CNc1cc2c(c(=S)n1O)NCC(OC=S)O2 
Step: ['add'], Previous ligand: CNc1cc2c(c(=S)n1O)NCC(OC=S)O2, Changed ligand: CNc1cc2c(c(=S)n1OO)NCC(OC=S)O2, New ligand: CNc1cc2c(c(=S)n1O)NCC(OC=S)O2 
Step: ['add'], Previous ligand: CNc1cc2c(c(=S)n1O)NCC(OC=S)O2, Changed ligand: CCNc1cc2c(c(=S)n1O)NCC(OC=S)O2, New ligand: CNc1cc2c(c(=S)n1O)NCC(OC=S)O2 
Step: ['move_junction'], Previous ligand: CNc1cc2c(c(=S)n1O)NCC(OC=S)O2, Changed ligand: CNc1cc2c(c(=S)n1O)NCC(OC=S)O2, New ligand: CNc1cc2c(c(=S)n1O)NCC(OC=S)O2 
Step: ['add'], Previous ligand: CNc1cc2c(c(=S)n1O)NCC(OC=S)O2, Changed ligand: CCCC12C=C(NC)N(O)C(=S)C1=NCC(OC=S)O2, New ligand: CNc1cc2c(c(=S)n1O)NCC(OC=S)O2 
Step: ['add'], Previous ligand: CNc1cc2c(c(=S)n1O)NCC(OC=S)O2, Changed ligand: CNC1=[N+]([O-])C(=S)C2=NCC(OC=S)OC2=C1N, New ligand: CNc1cc2c(c(=S)n1O)NCC(OC=S)O2 
Step: ['switch'], Previous ligand: CNc1cc2c(c(=S)n1O)NCC(OC=S)O2, Changed ligand: CNC1=CC2=C(CC(=S)N1O)NCC(OC=S)O2, New ligand: CNc1cc2c(c(=S)n1O)NCC(OC=S)O2 
Step: ['add'], Previous ligand: CNc1cc2c(c(=S)n1O)NCC(OC=S)O2, Changed ligand: CNc1c(S)c2c(c(=S)n1O)NCC(OC=S)O2, New ligand: CNc1cc2c(c(=S)n1O)NCC(OC=S)O2 
Step: ['switch'], Previous ligand: CNc1cc2c(c(=S)n1O)NCC(OC=S)O2, Changed ligand: CNc1cc2c(c(=S)n1O)NCC(OCC=S)O2, New ligand: CNc1cc2c(c(=S)n1O)NCC(OCC=S)O2 
Step: ['add'], Previous ligand: CNc1cc2c(c(=S)n1O)NCC(OCC=S)O2, Changed ligand: CNc1cc2c(c(=S)n1O)NCC(C)(OCC=S)O2, New ligand: CNc1cc2c(c(=S)n1O)NCC(C)(OCC=S)O2 
Step: ['add'], Previous ligand: CNc1cc2c(c(=S)n1O)NCC(C)(OCC=S)O2, Changed ligand: CN=C1C(C)=C2OC(C)(OCC=S)CN=C2C(=S)N1O, New ligand: CNc1cc2c(c(=S)n1O)NCC(C)(OCC=S)O2 
Step: ['switch'], Previous ligand: CNc1cc2c(c(=S)n1O)NCC(C)(OCC=S)O2, Changed ligand: CNc1cc2c(c(=S)n1O)NCC(C)(OCC=S)OO2, New ligand: CNc1cc2c(c(=S)n1O)NCC(C)(OCC=S)O2 
Step: ['add'], Previous ligand: CNc1cc2c(c(=S)n1O)NCC(C)(OCC=S)O2, Changed ligand: CNc1cc2c(c(=S)n1O)NC(C)C(C)(OCC=S)O2, New ligand: CNc1cc2c(c(=S)n1O)NCC(C)(OCC=S)O2 
Step: ['switch'], Previous ligand: CNc1cc2c(c(=S)n1O)NCC(C)(OCC=S)O2, Changed ligand: CNC1=CC2OC(C)(OCC=S)CCNC2C(=S)N1O, New ligand: CNc1cc2c(c(=S)n1O)NCC(C)(OCC=S)O2 
Step: ['switch'], Previous ligand: CNc1cc2c(c(=S)n1O)NCC(C)(OCC=S)O2, Changed ligand: CNc1cc2c(c(=S)n1O)NCC(C)(OCC=S)OC2, New ligand: CNc1cc2c(c(=S)n1O)NCC(C)(OCC=S)OC2 
Step: ['add'], Previous ligand: CNc1cc2c(c(=S)n1O)NCC(C)(OCC=S)OC2, Changed ligand: CNc1cc2c(c(=S)n1O)NCC(C)(OC(S)C=S)OC2, New ligand: CNc1cc2c(c(=S)n1O)NCC(C)(OCC=S)OC2 
Step: ['add'], Previous ligand: CNc1cc2c(c(=S)n1O)NCC(C)(OCC=S)OC2, Changed ligand: CNc1cc2c(c(=S)n1O)NC(N)C(C)(OCC=S)OC2, New ligand: CNc1cc2c(c(=S)n1O)NCC(C)(OCC=S)OC2 
Step: ['remove'], Previous ligand: CNc1cc2c(c(=S)n1O)NCC(C)(OCC=S)OC2, Changed ligand: CCOC1(C)CNc2c(cc(NC)n(O)c2=S)CO1, New ligand: CCOC1(C)CNc2c(cc(NC)n(O)c2=S)CO1 
Step: ['add'], Previous ligand: CCOC1(C)CNc2c(cc(NC)n(O)c2=S)CO1, Changed ligand: CCC=C(C)OC1(C)CNc2c(cc(NC)n(O)c2=S)CO1, New ligand: CCOC1(C)CNc2c(cc(NC)n(O)c2=S)CO1 
Step: ['remove ring'], Previous ligand: CCOC1(C)CNc2c(cc(NC)n(O)c2=S)CO1, Changed ligand: CCOC1(C)CNC(C(S)NO)C(CCNC)CO1, New ligand: CCOC1(C)CNc2c(cc(NC)n(O)c2=S)CO1 
Step: ['turn ring aromatic'], Previous ligand: CCOC1(C)CNc2c(cc(NC)n(O)c2=S)CO1, Changed ligand: CCOC1(C)CNC2C(=S)N(O)C(NC)CC2CO1, New ligand: CCOC1(C)CNc2c(cc(NC)n(O)c2=S)CO1 
Step: ['move_junction'], Previous ligand: CCOC1(C)CNc2c(cc(NC)n(O)c2=S)CO1, Changed ligand: CCOC1(C)CNc2c(cc(NC)n(O)c2=S)CO1, New ligand: CCOC1(C)CNc2c(cc(NC)n(O)c2=S)CO1 
